CASENO,OFFENSE,CVLEGEND,BLKADDR,EVENTDTTM,Latitude,Longitude,Day
19092477,BURGLARY AUTO,BURGLARY - VEHICLE,1800 SAN PABLO AV,2019-11-09 20:00:00,37.871369,-122.292954,Saturday
19058115,VANDALISM,VANDALISM,2400 CHANNING WY,2019-10-12 11:00:00,37.866622,-122.26108,Saturday
19068023,VANDALISM,VANDALISM,2500 TELEGRAPH AV,2019-11-30 20:50:00,37.864827,-122.258577,Saturday
19067945,DISTURBANCE,DISORDERLY CONDUCT,2700 DWIGHT WY,2019-11-30 11:20:00,37.865748,-122.253396,Saturday
19042531,DISTURBANCE,DISORDERLY CONDUCT,2600 COLLEGE AV,2019-08-03 09:00:00,37.863598,-122.253693,Saturday
19036743,THEFT MISD. (UNDER $950),LARCENY,2100 SHATTUCK AVE,2019-07-06 14:42:00,37.871167,-122.268285,Saturday
19061014,NARCOTICS,DRUG VIOLATION,2500 DURANT AV,2019-10-26 22:36:00,37.867852,-122.258699,Saturday
19058260,MISSING ADULT,MISSING PERSON,SHATTUCK AV & KITTREDGE ST,2019-10-05 08:00:00,37.868489,-122.26795,Saturday
19049072,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1200 SIXTH ST,2019-08-31 17:00:00,37.881142,-122.30191,Saturday
19042525,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1100 UNIVERSITY AV,2019-08-03 10:18:00,37.869067,-122.292043,Saturday
19091828,THEFT MISD. (UNDER $950),LARCENY,1100 CRAGMONT AV,2019-09-07 23:00:00,37.890274,-122.260794,Saturday
19035368,NARCOTICS,DRUG VIOLATION,2800 STANTON ST,2019-06-29 03:11:00,37.855815,-122.280413,Saturday
19092469,BURGLARY AUTO,BURGLARY - VEHICLE,2100 CENTER ST,2019-11-09 06:30:00,37.870308,-122.26805,Saturday
19091736,THEFT MISD. (UNDER $950),LARCENY,1700 UNIVERSITY AV,2019-08-24 06:00:00,37.870948,-122.27733,Saturday
19051773,BURGLARY AUTO,BURGLARY - VEHICLE,2930 MARTIN LUTHER KING JR,2019-09-14 02:00:00,37.855065,-122.271216,Saturday
19041382,THEFT FROM AUTO,LARCENY - FROM VEHICLE,2700 MATHEWS ST,2019-07-27 11:59:00,37.857776,-122.286576,Saturday
